student_id,attendance_pct,cat1_score,cat2_score,assignment_avg,practical_avg,lms_activity_pct,study_hours_week,final_exam_score,overall_mark,pass_fail
EICN/2019/2925,59,13,25,55,70,52,14,48,55.5,1
EICN/2023/5104,79,17,21,53,53,56,15.4,39,49.1,1
EICN/2020/1780,65,18,21,70,70,94,1.3,50,58.5,1
EICN/2016/0091,75,10,18,71,82,82,4.2,51,54.8,1
EICN/2025/1944,91,18,9,75,81,88,2.4,52,55.1,1
EICN/2022/9830,58,2,21,56,66,70,4.7,37,42.2,1
EICN/2025/3512,72,11,12,69,79,78,6.9,34,43.3,1
EICN/2015/4091,66,9,16,56,54,60,12.7,45,46,1
EICN/2017/5277,100,16,24,74,61,100,8.5,48,57.5,1
EICN/2018/3993,94,17,30,88,94,100,11.6,67,75.2,1
EICN/2019/6034,70,11,14,73,82,85,9.4,47,51.5,1
EICN/2025/5182,96,23,13,76,56,90,13.7,63,62.7,1
EICN/2020/9851,87,23,6,64,71,80,8.4,51,53.5,1
EICN/2024/0913,81,25,22,55,53,74,4.8,51,59.8,1
EICN/2021/6380,83,11,6,66,76,70,13.8,37,41.2,1
EICN/2018/4901,76,16,21,60,52,73,8.4,35,47.2,1
EICN/2021/3879,58,9,9,40,39,51,14.1,30,31.9,0
EICN/2024/9291,80,22,18,73,77,99,10.9,54,62,1
EICN/2020/1200,69,9,19,45,42,48,8.2,45,45.2,1
EICN/2024/6068,82,14,17,67,84,88,13.4,73,67.1,1
EICN/2020/3203,82,17,20,75,61,86,14,55,59.6,1
EICN/2024/9657,75,20,30,49,43,60,6.2,49,58.7,1
EICN/2024/2376,69,10,11,40,44,42,7.2,46,41.9,1
EICN/2024/6239,100,13,5,76,74,100,11.5,52,50,1
EICN/2020/1818,95,23,19,87,97,100,17,76,77.4,1
EICN/2017/8640,82,16,23,59,66,72,9,50,57,1
EICN/2016/8455,82,14,22,82,82,92,2.9,39,53.9,1
EICN/2023/9699,96,17,25,71,81,94,13.8,52,62.2,1
EICN/2024/5834,80,15,10,62,54,78,6.5,34,41.1,1
EICN/2018/6687,83,9,10,70,75,76,10.6,32,40,1
EICN/2015/2610,94,24,15,82,79,100,6.3,50,60.6,1
EICN/2020/2262,84,24,24,64,69,91,5.8,51,62.8,1
EICN/2023/0952,83,19,17,78,73,94,8.6,55,60.6,1
EICN/2018/9269,79,20,14,70,68,77,1,51,56.3,1
EICN/2023/6503,84,16,14,64,62,76,11.2,55,55.1,1
EICN/2020/3773,79,18,14,68,53,80,8.5,41,48.6,1
EICN/2022/2814,63,11,23,39,41,45,14.6,49,49.5,1
EICN/2019/6214,84,11,16,60,78,67,10.1,47,50.8,1
EICN/2024/9717,91,17,13,75,82,86,12,45,53.2,1
EICN/2023/5653,73,10,13,57,48,68,9.9,33,38.5,0
EICN/2017/5380,74,24,9,63,64,71,8.4,47,52.7,1
EICN/2015/0656,74,12,16,63,96,80,14.7,61,60.4,1
EICN/2022/7453,87,15,15,77,90,96,13.1,55,59.2,1
EICN/2015/0088,63,13,14,60,42,66,12.3,24,35.7,0
EICN/2018/9062,96,20,12,84,89,100,14.2,49,57.8,1
EICN/2015/4995,73,15,29,59,65,66,3.6,36,52.4,1
EICN/2018/7594,77,21,29,66,64,92,13,57,66.5,1
EICN/2023/8984,87,20,11,74,64,92,8.5,49,53.8,1
EICN/2022/5519,71,17,19,57,46,63,10.1,38,47.3,1
EICN/2022/4920,78,15,14,75,72,95,5.9,37,47.7,1
EICN/2015/2907,78,17,17,52,40,63,10.4,55,53.7,1
EICN/2021/0873,77,7,19,57,67,71,10.8,48,49.4,1
EICN/2017/9832,85,26,15,73,67,92,14.8,43,56,1
EICN/2017/2705,86,15,17,66,65,91,15.6,46,52.1,1
EICN/2017/5382,88,20,21,74,59,100,20.6,57,62.3,1
EICN/2019/2863,67,8,25,61,52,76,10.4,52,53.8,1
EICN/2019/0187,79,12,11,61,53,76,3.6,36,40.9,1
EICN/2020/1618,81,16,9,72,79,75,5.4,34,44.6,1
EICN/2019/0922,66,18,26,48,46,51,18.4,44,53.4,1
EICN/2016/0887,81,21,21,61,41,79,4.2,47,54.7,1
EICN/2019/7413,94,24,22,80,72,100,8,53,64.7,1
EICN/2025/6936,76,15,23,47,68,50,14.9,44,52.5,1
EICN/2024/7978,78,20,22,58,62,81,6.1,52,59,1
EICN/2021/7046,63,12,24,53,53,57,10.6,43,50.1,1
EICN/2020/8115,92,15,17,71,57,100,15.8,40,48.8,1
EICN/2024/4527,96,24,23,79,85,94,14.3,49,64.4,1
EICN/2020/0911,73,10,20,45,55,61,13.9,60,55,1
EICN/2015/8848,84,18,11,80,80,92,16.6,52,56.5,1
EICN/2023/4967,92,19,8,67,60,95,9.6,49,50.7,1
EICN/2018/1044,64,11,18,41,27,57,10.8,38,40.3,1
EICN/2018/4794,72,10,14,56,49,67,10.7,36,40.5,1
EICN/2023/3075,76,15,18,79,75,88,10.4,46,54.9,1
EICN/2017/1276,75,11,17,53,39,64,10,58,52.2,1
EICN/2023/3870,77,20,20,75,72,100,5.9,41,55.2,1
EICN/2025/6949,80,18,13,78,77,83,12.2,57,59.5,1
EICN/2025/6931,85,23,15,45,36,63,10.9,35,44.6,1
EICN/2019/4453,59,11,16,50,37,67,6.2,20,32.2,0
EICN/2020/8817,100,15,14,83,81,100,9.5,41,51.4,1
EICN/2020/8535,97,17,30,88,87,100,6.1,51,66.5,1
EICN/2019/8885,83,16,19,46,33,64,6.4,53,51.9,1
EICN/2019/9756,69,13,15,53,43,65,2.9,22,34.6,0
EICN/2025/8272,55,14,14,35,26,30,12.3,56,48.1,1
EICN/2019/4958,93,11,16,57,76,74,7.9,50,51.8,1
EICN/2023/3385,80,20,11,57,63,77,9.5,54,54.5,1
EICN/2017/0530,70,12,23,42,54,50,7.4,56,55.1,1
EICN/2015/1438,80,19,12,69,79,98,8.3,50,55.3,1
EICN/2018/0491,64,17,18,70,59,94,14,51,55.9,1
EICN/2022/3617,95,18,14,67,80,86,8,51,56.2,1
EICN/2025/7778,70,16,22,38,38,40,8.1,42,47.6,1
EICN/2023/1760,71,10,20,50,63,59,12.7,43,47.8,1
EICN/2023/7998,72,16,10,56,42,77,3.5,33,39.3,0
EICN/2015/9115,72,18,27,60,56,65,9.7,38,53.1,1
EICN/2021/7121,71,20,14,30,24,39,7.7,25,34.9,0
EICN/2022/4445,79,20,18,69,70,85,14.6,58,61.9,1
EICN/2018/7267,82,19,19,51,59,61,8.5,44,52,1
EICN/2015/9324,56,11,20,34,36,46,10.3,49,47,1
EICN/2024/1286,73,21,27,53,57,75,7.1,51,60.5,1
EICN/2024/1773,96,18,20,70,54,100,13.2,61,61.9,1
EICN/2015/3643,95,17,21,72,63,91,17.5,55,60,1
EICN/2017/0287,73,17,12,56,50,57,11.8,30,40.1,1
EICN/2019/9855,78,9,30,67,65,85,5.2,40,52.7,1
EICN/2020/9776,67,15,27,54,55,68,11,40,51.9,1
EICN/2023/1826,100,20,10,73,69,100,17.1,45,51.7,1
EICN/2016/9625,80,11,14,28,29,39,10.2,36,36.2,0
EICN/2020/8042,92,26,21,82,75,100,13.7,66,72.2,1
EICN/2019/8336,85,17,15,54,23,63,7.3,59,53.2,1
EICN/2017/7974,86,20,16,83,75,92,10.9,47,57.3,1
EICN/2015/2062,84,16,23,51,54,56,9,31,45.5,1
EICN/2016/1313,75,15,7,76,84,85,4.9,36,45,1
EICN/2017/3797,94,26,18,87,76,100,15.4,43,59.8,1
EICN/2022/2426,76,14,5,70,85,90,12.1,41,45.5,1
EICN/2021/8039,78,18,12,72,45,91,8.2,38,45.7,1
EICN/2023/0979,78,21,8,64,75,83,5.3,38,47.4,1
EICN/2015/5705,84,12,23,82,63,91,7.7,50,57,1
EICN/2022/5543,96,20,20,67,69,70,12.2,54,60.6,1
EICN/2024/1156,80,19,25,76,94,86,2.5,52,65,1
EICN/2022/5980,80,22,22,65,63,70,11,42,55.8,1
EICN/2022/4291,56,12,12,63,55,69,16.3,46,46.8,1
EICN/2023/7645,86,15,15,68,50,74,4.3,43,48.3,1
EICN/2024/3455,65,11,10,39,42,43,11,33,35.1,0
EICN/2022/7260,65,9,12,47,42,51,6.9,31,34.9,0
EICN/2020/0990,68,11,28,60,55,85,12.8,41,51.5,1
EICN/2025/7058,78,24,21,51,44,63,12.4,39,51.5,1
EICN/2018/4810,100,17,25,85,76,100,4.4,45,59.6,1
EICN/2022/4086,73,17,20,78,84,83,5.5,41,55.2,1
EICN/2021/5199,84,22,8,53,44,72,13,35,42.2,1
EICN/2022/2281,66,9,15,45,47,50,10.9,38,40.2,1
EICN/2022/7423,86,25,18,85,95,95,5,56,67.5,1
EICN/2022/2464,71,15,0,50,33,59,7.7,27,29.3,0
EICN/2025/3244,69,12,14,43,43,59,1,40,41.6,1
EICN/2015/5768,79,11,25,56,61,74,10.3,49,54.2,1
EICN/2017/9126,78,17,19,76,61,87,22.3,45,54.2,1
EICN/2016/3515,63,11,24,62,53,66,6.7,42,50,1
EICN/2016/0924,85,24,12,54,57,76,9.3,35,46.6,1
EICN/2015/3672,78,7,26,73,72,79,10.8,46,54,1
EICN/2022/3803,76,20,21,67,62,71,3.9,34,50.4,1
EICN/2024/6687,67,14,15,48,70,41,16.6,50,51.3,1
EICN/2016/6539,91,17,19,60,77,70,12.9,56,59.7,1
EICN/2016/4105,80,18,13,71,65,74,12.3,42,50.1,1
EICN/2016/9450,77,13,10,78,63,96,11.4,49,50.1,1
EICN/2023/2763,75,19,14,31,53,31,16.1,40,44.9,1
EICN/2021/5745,87,14,21,74,72,85,14,52,58.1,1
EICN/2024/5540,94,22,2,76,87,100,12.4,42,49.3,1
EICN/2024/4278,85,20,13,79,97,99,7.1,36,52.1,1
EICN/2015/1932,59,13,20,53,40,58,7.8,35,43.3,1
EICN/2023/1027,58,11,19,40,27,39,10.9,39,41.2,1
EICN/2016/8811,80,12,15,73,59,90,12.9,51,52.2,1
EICN/2018/0329,73,17,27,60,71,59,9.3,46,58.1,1
EICN/2015/8144,88,10,20,62,82,82,11.5,49,53.9,1
EICN/2021/4855,70,16,20,58,80,70,10.5,56,59.8,1
EICN/2023/3472,70,10,25,65,64,74,7.7,46,53.4,1
EICN/2019/3208,74,11,14,50,44,48,6.4,27,35.4,0
EICN/2025/1543,95,25,12,67,61,94,9,49,55.8,1
EICN/2015/2892,80,13,29,50,43,63,13.7,53,56.8,1
EICN/2019/9168,92,10,19,77,97,89,5.1,49,56.4,1
EICN/2020/6238,60,13,17,47,34,43,10.4,32,39.1,0
EICN/2020/9178,78,14,13,49,58,53,14.1,40,44.2,1
EICN/2021/0238,80,20,22,69,54,90,6.7,63,64.8,1
EICN/2020/6739,94,17,9,82,99,100,13,47,54.6,1
EICN/2024/6219,84,15,24,71,58,94,16.8,51,57.9,1
EICN/2023/7651,80,19,22,82,95,99,7.8,61,68.7,1
EICN/2020/5603,100,22,22,74,73,92,6.6,62,67.7,1
EICN/2020/2597,74,13,14,63,51,88,13,51,50.4,1
EICN/2019/5066,72,20,14,61,67,71,10.4,37,48.3,1
EICN/2018/7441,72,23,16,69,62,88,10.4,40,52.6,1
EICN/2022/4423,83,9,15,61,54,80,3.6,44,45.5,1
EICN/2020/5535,60,16,12,40,31,44,12.4,46,44.1,1
EICN/2024/5744,60,20,18,61,63,64,6.5,43,52.9,1
EICN/2025/4819,55,6,17,43,41,42,8.6,27,33.4,0
EICN/2020/9784,87,9,24,62,86,73,11.5,53,57.8,1
EICN/2024/6818,75,25,9,55,53,61,8.8,48,51.8,1
EICN/2024/9009,87,17,17,76,61,85,15.1,56,58.7,1
EICN/2025/8314,67,16,13,46,45,43,8.9,33,40.1,1
EICN/2018/9944,100,18,21,75,74,79,7.3,46,57.4,1
EICN/2025/5933,69,18,8,47,48,64,17.9,39,42,1
EICN/2016/7089,92,20,10,66,65,88,6.4,39,47.6,1
EICN/2020/0242,97,19,20,64,68,92,10.6,56,60.7,1
EICN/2021/4435,74,9,17,68,69,78,11.1,41,47.2,1
EICN/2022/9848,76,16,13,58,59,71,8.7,26,39.2,0
EICN/2025/6203,89,22,23,80,80,100,8.7,51,64,1
EICN/2024/5499,98,16,19,82,91,96,18.4,45,57.3,1
EICN/2019/3530,85,21,16,54,68,66,9.5,37,49.2,1
EICN/2020/0179,60,5,17,57,76,54,1,34,41.3,1
EICN/2023/9822,90,24,25,65,58,87,8.9,61,67.3,1
EICN/2017/6945,64,13,16,66,57,84,6.6,41,47.3,1
EICN/2017/6295,82,14,17,55,68,73,7.1,45,50.3,1
EICN/2019/2938,89,20,21,72,79,76,10.8,46,58.6,1
EICN/2021/2563,64,11,22,70,83,73,10.4,38,50.8,1
EICN/2022/4066,86,18,14,55,71,72,6.4,33,45.1,1
EICN/2019/0169,100,13,13,80,75,93,18.6,56,56.5,1
EICN/2017/6480,84,13,17,69,76,98,5.6,56,57.5,1
EICN/2020/4060,84,13,20,63,62,81,12.7,53,55.5,1
EICN/2015/0296,95,14,13,86,79,100,11.3,40,50,1
EICN/2025/7856,81,15,28,60,58,77,14.7,60,63.3,1
EICN/2015/9986,63,11,20,59,61,59,14.5,44,49.5,1
EICN/2015/2929,80,9,16,82,65,89,9.8,49,51.7,1
EICN/2019/6449,85,13,19,70,58,89,14.5,44,50.8,1
EICN/2016/8309,65,8,6,72,70,86,8.8,33,37.7,0
EICN/2016/4882,67,12,24,57,59,59,10.6,52,55.6,1
EICN/2019/1201,76,17,15,74,94,79,1,22,43.8,1
EICN/2023/8223,59,10,6,52,50,54,10.1,26,31.2,0
EICN/2015/1004,83,18,17,58,61,76,14.2,59,58.9,1
EICN/2018/6533,67,13,20,56,60,74,10.8,63,59.6,1
EICN/2025/7520,87,11,15,89,87,100,6.4,51,56.1,1
EICN/2017/8804,72,6,30,73,68,86,3.7,54,59.1,1
EICN/2021/2809,75,10,14,68,76,78,11.1,34,43.4,1
EICN/2018/0069,64,12,25,61,75,61,12,39,51.6,1
EICN/2016/9013,93,25,20,74,77,100,5.4,52,63.6,1
EICN/2019/4226,74,17,19,52,47,60,9,43,49.4,1
EICN/2020/5988,68,16,20,55,58,78,11.1,45,51.8,1
EICN/2021/9279,72,19,30,59,53,84,9.7,50,60.7,1
EICN/2017/9309,83,26,13,59,59,62,14.8,53,57.8,1
EICN/2021/2869,85,13,25,58,62,66,1.9,41,51.5,1
EICN/2025/7146,71,17,11,76,72,94,13.1,46,51.8,1
EICN/2018/1524,65,17,22,50,42,63,9.2,38,47.7,1
EICN/2021/4753,83,19,30,56,71,74,1,55,64.7,1
EICN/2024/5450,73,14,30,70,69,84,14.3,57,64.4,1
EICN/2018/6717,83,19,16,64,58,88,13.1,40,49.7,1
EICN/2022/7737,48,15,16,41,36,50,11.7,42,44.2,1
EICN/2020/9756,74,18,18,68,73,81,9.7,44,54.1,1
EICN/2018/6041,78,14,11,65,62,70,6.9,35,42.7,1
EICN/2015/0098,65,6,18,27,31,35,10.1,28,31.8,0
EICN/2016/5029,85,11,16,50,50,54,3,41,44,1
EICN/2015/0354,63,15,17,65,57,65,17.9,62,59.2,1
EICN/2019/8284,84,18,14,78,79,100,7.1,57,60.2,1
EICN/2018/0546,81,21,20,64,55,72,8.9,36,50.4,1
EICN/2021/9711,73,14,22,64,63,91,7.2,54,57.7,1
EICN/2019/2737,42,4,18,55,64,65,9.4,43,44.4,1
EICN/2023/1683,89,29,14,72,72,100,7.8,56,63.9,1
EICN/2019/2788,70,17,15,44,49,58,11.8,46,48.3,1
EICN/2024/5178,100,16,22,79,80,100,6.4,57,63.4,1
EICN/2016/8317,91,16,11,86,90,100,9.1,32,47.1,1
EICN/2019/7613,75,21,27,59,65,74,10.9,45,58.9,1
EICN/2024/1703,65,10,13,64,81,83,19.5,55,53.5,1
EICN/2021/9952,88,15,15,67,66,70,20.3,60,58.3,1
EICN/2019/3118,76,9,21,63,51,71,11.9,37,44.9,1
EICN/2015/9281,70,14,11,60,59,72,8.5,35,41.9,1
EICN/2024/4191,68,12,19,61,58,76,10.3,43,48.9,1
EICN/2024/6744,59,10,13,40,47,51,10.5,48,44.2,1
EICN/2020/7660,87,23,23,70,71,97,9.9,48,61.1,1
EICN/2025/8726,73,11,7,54,49,75,1,17,27.8,0
EICN/2019/2444,59,10,20,62,60,77,13.4,40,47.2,1
EICN/2024/4323,79,14,20,88,61,98,12.6,62,62.9,1
EICN/2020/8621,72,12,25,56,59,53,10.4,47,53.5,1
EICN/2019/2898,77,12,14,71,77,100,19.4,51,53.3,1
EICN/2023/9978,66,16,10,67,73,73,6.5,34,44,1
EICN/2017/2763,81,9,13,65,78,83,1.2,43,46.8,1
EICN/2015/6834,58,18,23,61,67,65,4.5,37,51.8,1
EICN/2018/6032,76,18,18,64,74,78,15.3,58,60.8,1
EICN/2025/0484,62,14,15,54,53,59,5.7,39,44.7,1
EICN/2023/9513,94,21,9,85,96,100,13.4,52,59.1,1
EICN/2024/9693,73,18,23,79,86,91,10.5,52,63,1
EICN/2016/2532,84,13,7,59,65,78,5,27,35.9,0
EICN/2023/3440,76,16,14,66,58,66,17.3,58,56.4,1
EICN/2016/7749,87,10,10,84,73,100,14.9,36,43.7,1
EICN/2025/7820,75,17,18,60,71,75,11.7,50,55.6,1
EICN/2024/8577,80,15,20,66,88,69,17.5,44,54.9,1
EICN/2024/0037,70,20,13,62,68,75,10.9,60,59.5,1
EICN/2022/0322,64,8,23,70,55,97,11.7,55,55.5,1
EICN/2016/5714,90,24,7,83,74,100,12.6,51,56.7,1
EICN/2015/3923,77,12,30,61,50,68,9,59,61.6,1
EICN/2024/2191,77,16,29,59,62,67,13.4,45,57.1,1
EICN/2025/4828,79,15,13,68,79,76,8.4,59,58.2,1
EICN/2024/6066,85,12,18,49,38,69,6.5,46,46.7,1
EICN/2018/7403,84,20,21,63,56,70,12.5,66,65.4,1
EICN/2018/9500,77,10,20,86,86,100,12,59,61.7,1
EICN/2017/9360,82,13,15,54,78,69,12.3,45,49.7,1
EICN/2024/8434,100,25,16,78,84,100,14,55,64.2,1
EICN/2021/6025,75,16,27,86,69,100,4.1,48,61,1
EICN/2023/7804,75,14,23,67,72,88,12,51,57.9,1
EICN/2016/6153,78,15,8,72,75,91,8.3,33,42.7,1
EICN/2021/3947,84,14,26,45,34,59,5.7,41,48.4,1
EICN/2022/6397,73,16,14,60,48,85,9.5,39,45.3,1
EICN/2016/9368,54,5,11,49,39,50,8.6,26,29.8,0
EICN/2020/5597,72,15,18,63,66,82,9.2,40,49.4,1
EICN/2024/3036,76,13,21,58,54,80,12.8,49,52.7,1
EICN/2022/5474,85,12,21,85,81,100,8.5,59,62.6,1
EICN/2022/4197,94,14,19,73,77,100,14.4,60,61.5,1
EICN/2016/3393,100,15,8,67,50,89,9.8,52,49.2,1
EICN/2017/7471,74,16,10,60,63,68,9.4,45,47.8,1
EICN/2021/5487,78,15,14,64,46,70,7.7,38,44.5,1
EICN/2025/4924,77,22,21,83,100,100,13.7,73,76.3,1
EICN/2020/0913,74,14,2,64,74,85,8.6,39,41.3,1
EICN/2019/7338,83,20,17,62,70,74,7.4,46,54.7,1
EICN/2016/2171,61,10,25,51,71,60,12,52,55.7,1
EICN/2017/8408,85,19,16,58,47,80,11.1,49,52.5,1
EICN/2015/9898,83,20,14,57,67,74,9.5,25,41.9,1
EICN/2020/5389,94,16,13,84,83,100,9.7,46,54.2,1
EICN/2019/1067,84,17,11,80,84,87,7.3,42,51.4,1
EICN/2019/6995,78,15,15,81,85,100,10,42,52.6,1
EICN/2023/3002,85,24,22,65,67,87,5.1,47,59.7,1
EICN/2018/4117,81,18,24,47,54,56,7.6,52,57.1,1
EICN/2018/2274,97,18,0,68,80,80,11.2,34,40.8,1
EICN/2016/4917,93,20,13,74,78,92,15.5,55,59.2,1
EICN/2020/5345,91,16,19,64,45,67,4.3,47,51.9,1
EICN/2017/0380,82,15,12,50,50,69,5.9,47,47,1
EICN/2025/0139,95,16,18,66,91,87,10.3,45,55.2,1
EICN/2022/8671,56,2,23,36,27,24,13.2,36,36.8,0
EICN/2021/4876,62,10,20,72,78,87,10.3,41,50.5,1
EICN/2020/8509,74,16,29,63,65,63,7.2,39,54.8,1
EICN/2022/9486,59,8,15,58,46,61,5.5,47,45.4,1
EICN/2018/1922,99,19,20,73,72,95,3.1,53,60.5,1
EICN/2017/2898,75,11,21,57,44,67,8.9,50,51.1,1
EICN/2023/2553,72,16,10,69,69,90,7.6,30,41.8,1
EICN/2019/0856,73,16,22,61,59,86,4.9,39,50.5,1
EICN/2023/1740,64,13,21,45,45,52,7.5,31,41.5,1
EICN/2016/0356,76,9,8,69,71,90,5.6,30,37.5,0
EICN/2023/0856,77,12,17,64,76,80,16.2,40,48.5,1
EICN/2016/9762,92,15,9,72,88,100,9.8,39,47.5,1
EICN/2019/6191,64,13,24,62,64,74,8,46,54.1,1
EICN/2016/2604,64,13,16,33,52,44,11.6,27,36.5,0
EICN/2021/7450,71,21,16,56,52,63,9.9,62,60.3,1
EICN/2017/8827,99,23,9,87,94,100,2.6,44,56.1,1
EICN/2025/9651,62,15,15,66,57,76,1,40,47.3,1
EICN/2016/6252,67,5,21,69,76,70,6.2,44,49.5,1
EICN/2016/3956,64,10,19,54,52,73,16.1,40,45.1,1
EICN/2018/6437,82,17,17,46,36,65,10.9,56,53.2,1
EICN/2021/8649,92,24,28,76,73,99,8.1,69,75.4,1
EICN/2022/0665,78,15,15,64,58,82,12.2,41,47.7,1
EICN/2019/0490,88,16,24,77,66,85,9.9,38,53.3,1
EICN/2017/1095,89,23,18,64,82,84,7.8,58,64.1,1
EICN/2017/2725,79,19,18,58,46,70,10.8,41,49.4,1
EICN/2019/9455,92,16,12,81,62,95,11.4,55,55.8,1
EICN/2020/5530,60,8,23,52,47,54,6.8,41,45.9,1
EICN/2017/8141,74,16,14,50,32,48,13.4,45,45.7,1
EICN/2020/8239,77,18,14,69,62,73,6,44,51.1,1
EICN/2021/3207,70,21,9,52,48,58,1.4,34,42,1
EICN/2015/9710,60,16,30,66,74,71,15.2,48,61,1
EICN/2019/9014,70,16,11,56,59,79,13.5,37,43.5,1
EICN/2015/1484,72,11,18,44,42,58,12.7,40,43.1,1
EICN/2023/4123,87,12,6,85,86,100,14.5,42,47.1,1
EICN/2015/2246,88,15,18,80,85,100,5.4,29,47.5,1
EICN/2018/8463,62,12,19,46,59,59,10.6,27,39.5,0
EICN/2018/8627,75,8,16,50,50,63,4.6,32,38,0
EICN/2020/0472,66,5,24,69,58,76,11.3,51,52.7,1
EICN/2018/5632,91,19,18,77,87,94,15.6,50,59.9,1
EICN/2020/0937,96,18,20,83,78,100,11.8,57,63.6,1
EICN/2022/5942,82,21,16,52,41,70,6.8,42,48.8,1
EICN/2021/6609,72,14,21,62,73,75,4.4,41,51.5,1
EICN/2016/7829,77,13,15,73,88,84,15.6,49,54.6,1
EICN/2015/2252,83,14,9,71,67,83,8.7,52,51.3,1
EICN/2018/1669,74,11,21,63,67,67,7.6,51,54.5,1
EICN/2016/1967,78,19,23,79,72,97,2.4,49,60.6,1
EICN/2017/3929,87,5,20,71,69,97,10.7,39,46,1
EICN/2015/0840,94,21,17,76,73,100,6.4,59,63.4,1
EICN/2021/1104,74,18,22,65,68,71,3.6,48,57.3,1
EICN/2025/3194,80,20,16,56,75,70,11.4,56,59.1,1
EICN/2015/1785,87,19,30,76,85,92,14.8,73,77.1,1
EICN/2018/9686,84,19,13,83,79,91,11.2,39,51.7,1
EICN/2020/2029,87,19,17,38,41,53,6.1,38,44.9,1
EICN/2017/4485,88,14,18,67,62,83,5.9,47,52.4,1
EICN/2019/5534,71,10,11,58,57,62,10.9,45,44.5,1
EICN/2015/6958,75,15,26,76,74,100,8.1,48,59.5,1
EICN/2020/2060,59,3,14,59,41,80,14.9,41,39,0
EICN/2016/3794,87,9,21,69,70,88,12.5,64,60.9,1
EICN/2024/1032,93,20,17,71,54,91,7.8,51,56.5,1
EICN/2023/6363,87,17,14,55,71,70,5.6,35,45.6,1
EICN/2021/9989,64,14,8,60,72,69,11,33,40.7,1
EICN/2017/1088,86,19,20,66,71,88,5.7,49,57.7,1
EICN/2016/2944,59,15,26,57,39,69,6.1,61,60.6,1
EICN/2015/9615,82,20,28,60,59,61,9.2,42,56.9,1
EICN/2020/9135,71,20,16,59,47,77,13.1,63,60.1,1
EICN/2015/9788,73,17,20,59,66,83,11.5,52,57,1
EICN/2025/9390,78,13,26,43,50,60,4.6,39,48.3,1
EICN/2024/8544,75,20,29,80,87,88,12.5,65,73.7,1
EICN/2016/5320,82,21,30,74,69,93,10.2,63,71.3,1
EICN/2019/8801,93,13,17,70,78,100,10.7,58,58.8,1
EICN/2016/4162,69,6,6,83,71,94,8.4,38,40.4,1
EICN/2015/9452,71,15,20,84,85,100,9.5,45,56.9,1
